Game,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,id
Fairy Fencer F: Advent Dark Force,Role-Playing,0.02,0.0,0.05,0.0,0.07,1096
Fairytale Fights,Action,0.125,0.03,0.0,0.015,0.17,1097
Falcon 4.0: Allied Force,Simulation,0.0,0.02,0.0,0.0,0.02,1098
Fallout 3,Role-Playing,1.8533333333333333,1.0366666666666666,0.05333333333333334,0.37000000000000005,3.32,1099
Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,Role-Playing,0.16,0.06,0.0,0.02,0.24,1100
Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,Role-Playing,0.09,0.01,0.0,0.01,0.1,1101
Fallout 4,Role-Playing,1.8066666666666666,1.68,0.08333333333333333,0.5233333333333334,4.093333333333334,1102
Fallout Anthology,Action,0.0,0.01,0.0,0.0,0.01,1103
Fallout Trilogy,Role-Playing,0.0,0.02,0.0,0.0,0.02,1104
Fallout: Brotherhood of Steel,Role-Playing,0.04,0.01,0.0,0.0,0.05,1105
Fallout: New Vegas,Role-Playing,1.5833333333333333,0.8633333333333334,0.04666666666666667,0.31333333333333335,2.8033333333333332,1106
Family Fest Presents Circus Games,Misc,0.1,0.29,0.0,0.05,0.44,1107
Family Fest presents: Movie Games,Action,0.2,0.01,0.0,0.02,0.23,1108
Family Feud Decades,Misc,0.16,0.0,0.0,0.01,0.17,1109
Family Feud: 2010 Edition,Misc,0.59,0.0,0.0,0.04,0.64,1110
Family Feud: 2012 Edition,Misc,0.14500000000000002,0.0,0.0,0.01,0.15000000000000002,1111
Family Fortunes,Misc,0.0,0.12,0.0,0.01,0.13,1112
Family Fun Football,Sports,0.1,0.0,0.0,0.01,0.11,1113
Family Game Night 4: The Game Show,Misc,0.09333333333333334,0.02,0.0,0.01,0.12666666666666668,1114
Family GameShow,Misc,0.08,0.0,0.0,0.01,0.09,1115
Family Guy: Back to the Multiverse,Action,0.13,0.105,0.0,0.035,0.27,1116
Family Jockey,Sports,0.0,0.0,0.01,0.0,0.01,1117
Family Party: 30 Great Games,Misc,0.09,0.01,0.0,0.01,0.1,1118
Family Party: 30 Great Games Outdoor Fun,Misc,0.14,0.01,0.0,0.01,0.16,1119
Family Party: 30 Great Games Winter Fun,Sports,0.21,0.0,0.0,0.01,0.23,1120
Family Party: 90 Great Games Party Pack,Misc,0.31,0.0,0.0,0.02,0.33,1121
Family Party: Fitness Fun,Sports,0.14,0.0,0.0,0.01,0.15,1122
Family Trainer: Treasure Adventure,Sports,0.0,0.06,0.0,0.01,0.07,1123
Fantasia: Music Evolved,Misc,0.08,0.02,0.0,0.01,0.11,1124
Fantastic 4,Action,0.2,0.06,0.0,0.01,0.27,1125
Fantastic Four: Rise of the Silver Surfer,Action,0.08666666666666667,0.013333333333333334,0.0,0.01,0.10666666666666667,1126
Fantastic Pets,Simulation,0.3,0.08,0.0,0.03,0.41,1127
Fantasy Aquarium World,Simulation,0.06,0.0,0.0,0.0,0.07,1128
Far Cry,Shooter,0.0,0.04,0.0,0.01,0.05,1129
Far Cry 2,Action,0.3833333333333333,0.6133333333333333,0.01,0.16,1.1633333333333333,1130
Far Cry 3,Shooter,0.8233333333333333,1.24,0.04,0.38000000000000006,2.49,1131
Far Cry 4,Shooter,0.5680000000000001,0.89,0.038,0.23600000000000004,1.736,1132
Far Cry Instincts,Shooter,0.32,0.24,0.0,0.02,0.57,1133
Far Cry Instincts Evolution,Shooter,0.06,0.02,0.0,0.0,0.08,1134
Far Cry Instincts Predator,Shooter,0.2,0.03,0.0,0.02,0.25,1135
Far Cry Vengeance,Shooter,0.06,0.01,0.0,0.01,0.08,1136
Far Cry: Primal,Action,0.36333333333333334,0.5233333333333333,0.02,0.1366666666666667,1.04,1137
Farm Frenzy,Strategy,0.01,0.0,0.0,0.0,0.02,1138
Farm Frenzy 3,Strategy,0.0,0.03,0.0,0.01,0.04,1139
Farming 2017 - The Simulation,Simulation,0.0,0.01,0.0,0.0,0.01,1140
Farming Simulator 15 Expansion Pack,Action,0.0,0.01,0.0,0.0,0.01,1141
Farming Simulator 2011,Simulation,0.0,0.13,0.0,0.0,0.13,1142
Farming Simulator 2013,Simulation,0.07333333333333333,0.3433333333333333,0.006666666666666667,0.08333333333333333,0.5133333333333333,1143
Farming Simulator 2015,Simulation,0.12,0.346,0.0,0.06200000000000001,0.528,1144
Fast & Furious: Showdown,Action,0.0,0.035,0.0,0.0,0.04,1145
Fast Food Panic,Simulation,0.06,0.0,0.0,0.0,0.06,1146
Fatal Frame,Action,0.04,0.01,0.0,0.0,0.06,1147
Fatal Frame 2: Wii Edition,Action,0.0,0.0,0.1,0.0,0.1,1148
Fatal Frame II: Crimson Butterfly Director's Cut,Action,0.04,0.01,0.0,0.0,0.05,1149
Fatal Frame: Maiden of Black Water,Action,0.0,0.03,0.08,0.0,0.11,1150
Fatal Inertia,Racing,0.12,0.0,0.0,0.01,0.13,1151
Ferrari Challenge Trofeo Pirelli,Racing,0.0,0.03,0.0,0.01,0.04,1152
Ferrari Challenge Trofeo Pirelli Deluxe,Racing,0.0,0.02,0.0,0.0,0.02,1153
Field & Stream: Total Outdoorsman Challenge,Sports,0.09,0.0,0.0,0.01,0.09,1154
Fight Club,Fighting,0.08,0.02,0.0,0.0,0.11,1155
Fight Night 2004,Fighting,0.51,0.15,0.0,0.02,0.68,1156
Fight Night Champion,Fighting,0.42500000000000004,0.42000000000000004,0.0,0.13,0.975,1157
Fight Night Round 2,Fighting,0.42,0.16,0.0,0.02,0.6,1158
Fight Night Round 2004,Fighting,0.46,0.18,0.0,0.03,0.67,1159
Fight Night Round 3,Fighting,0.8000000000000002,0.22666666666666666,0.006666666666666667,0.12333333333333334,1.1566666666666665,1160
Fight Night Round 4,Fighting,0.935,0.375,0.0,0.16999999999999998,1.47,1161
Fighter Within,Fighting,0.11,0.07,0.0,0.02,0.19,1162
Fighters Uncaged,Fighting,0.31,0.24,0.0,0.06,0.61,1163
Final Fantasy Crystal Chronicles: Echoes of Time,Role-Playing,0.13,0.06,0.05,0.02,0.26,1164
Final Fantasy Crystal Chronicles: The Crystal Bearers,Action,0.22,0.08,0.08,0.03,0.4,1165
Final Fantasy Fables: Chocobo's Dungeon,Role-Playing,0.09,0.0,0.11,0.01,0.21,1166
Final Fantasy Type-0,Role-Playing,0.26,0.195,0.075,0.08,0.61,1167
Final Fantasy X / X-2 HD Remaster,Role-Playing,0.43,0.4,0.32,0.18,1.33,1168
Final Fantasy X/X-2 HD Remaster,Role-Playing,0.29,0.25,0.06,0.11,0.71,1169
Final Fantasy XI,Role-Playing,0.17,0.01,0.0,0.01,0.19,1170
Final Fantasy XI: All-In-One Pack 2006,Role-Playing,0.0,0.0,0.02,0.0,0.02,1171
Final Fantasy XI: Ultimate Collection,Role-Playing,0.25,0.0,0.0,0.02,0.27,1172
Final Fantasy XI: Vana'diel Collection 2008,Role-Playing,0.13,0.0,0.01,0.01,0.15,1173
Final Fantasy XI: Wings of the Goddess,Role-Playing,0.25,0.0,0.02,0.02,0.3,1174
Final Fantasy XIII,Role-Playing,1.505,0.96,0.9400000000000001,0.36,3.765,1175
Final Fantasy XIII-2,Role-Playing,0.5700000000000001,0.525,0.455,0.16,1.71,1176
Final Fantasy XIV: A Realm Reborn,Role-Playing,0.5133333333333333,0.3433333333333333,0.12000000000000001,0.14,1.1133333333333333,1177
Final Fantasy XIV: Heavensward,Action,0.006666666666666667,0.02,0.02333333333333333,0.0033333333333333335,0.05333333333333332,1178
Final Fight: Streetwise,Action,0.01,0.0,0.0,0.0,0.02,1179
Finding Nemo,Action,0.48,0.16,0.0,0.02,0.66,1180
Fire Emblem: Radiant Dawn,Strategy,0.28,0.03,0.17,0.03,0.51,1181
Fireblade,Action,0.06,0.02,0.0,0.0,0.08,1182
Fishdom 2 Deluxe,Puzzle,0.0,0.02,0.0,0.01,0.02,1183
Fishing Master,Misc,0.29,0.0,0.0,0.02,0.31,1184
Fishing Master (jp sales),Sports,0.0,0.0,0.06,0.0,0.06,1185
Fishing Master World Tour,Sports,0.09,0.0,0.0,0.01,0.09,1186
Fishing Resort,Sports,0.16,0.0,0.25,0.01,0.42,1187
Fist of the North Star: Ken's Rage,Action,0.065,0.025,0.30500000000000005,0.015,0.41000000000000003,1188
Fist of the North Star: Ken's Rage 2,Fighting,0.01,0.0033333333333333335,0.11333333333333334,0.0,0.12666666666666668,1189
Fit & Fun,Sports,0.0,0.01,0.0,0.0,0.01,1190
Fit in Six,Sports,0.11499999999999999,0.0,0.0,0.01,0.125,1191
FlatOut,Racing,0.12,0.04,0.0,0.01,0.17,1192
FlatOut 2,Racing,0.03,0.01,0.0,0.0,0.04,1193
FlatOut: Ultimate Carnage,Racing,0.035,0.02,0.0,0.005,0.06,1194
FlingSmash,Action,0.38,0.01,0.07,0.02,0.48,1195
Folklore,Role-Playing,0.2,0.05,0.05,0.03,0.33,1196
Food Network: Cook or Be Cooked,Misc,0.41,0.0,0.0,0.03,0.44,1197
Football Manager 2005,Sports,0.0,0.01,0.0,0.0,0.01,1198
Football Manager 2010,Sports,0.0,0.06,0.0,0.01,0.07,1199
Football Manager 2011,Sports,0.0,1.01,0.0,0.25,1.26,1200
Football Manager 2012,Sports,0.02,1.16,0.0,0.34,1.51,1201
Football Manager 2013,Sports,0.0,0.95,0.0,0.22,1.17,1202
Football Manager 2014,Sports,0.0,0.6,0.0,0.1,0.71,1203
Football Manager 2015,Simulation,0.0,0.43,0.0,0.05,0.48,1204
Football Manager 2016,Simulation,0.0,0.29,0.0,0.02,0.31,1205
Football Manager Live,Sports,0.0,0.01,0.0,0.0,0.01,1206
Ford Mustang: The Legend Lives,Racing,0.07,0.02,0.0,0.0,0.09,1207
Ford Racing 2,Racing,0.11,0.03,0.0,0.01,0.15,1208
Ford Racing 3,Racing,0.07,0.02,0.0,0.0,0.09,1209
Ford Racing Off Road,Racing,0.06,0.4,0.0,0.01,0.48,1210
Ford vs. Chevy,Racing,0.06,0.02,0.0,0.0,0.08,1211
Forgotten Realms: Demon Stone,Action,0.06,0.02,0.0,0.0,0.09,1212
Formula 1: Championship Edition,Racing,0.0,0.57,0.04,0.0,0.61,1213
Fortune Street,Misc,0.27,0.04,0.17,0.02,0.5,1214
Forza Horizon,Racing,0.82,0.98,0.04,0.18,2.02,1215
Forza Horizon 2,Racing,0.425,0.605,0.005,0.08,1.11,1216
Forza Horizon 3,Racing,0.15,0.2,0.0,0.03,0.38,1217
Forza Motorsport,Racing,0.52,0.51,0.0,0.02,1.05,1218
Forza Motorsport 2,Racing,2.35,1.28,0.03,0.41,4.06,1219
Forza Motorsport 3,Racing,2.99,1.92,0.1,0.51,5.51,1220
Forza Motorsport 3: Ultimate Edition,Racing,0.0,0.04,0.0,0.01,0.05,1221
Forza Motorsport 4,Racing,2.08,2.04,0.06,0.47,4.64,1222
Forza Motorsport 5,Racing,1.21,0.78,0.01,0.17,2.18,1223
Forza Motorsport 6,Racing,0.69,0.89,0.03,0.14,1.74,1224
Fracture,Shooter,0.13,0.09000000000000001,0.0,0.03,0.25,1225
Fragile Dreams: Farewell Ruins of the Moon,Role-Playing,0.17,0.12,0.06,0.03,0.38,1226
Freaky Flyers,Racing,0.02,0.01,0.0,0.0,0.03,1227
Freddi Fish: Kelp Seed Mystery,Adventure,0.06,0.0,0.0,0.0,0.07,1228
Free Running,Sports,0.02,0.02,0.0,0.0,0.04,1229
Freedom Fighters,Shooter,0.17,0.05,0.0,0.01,0.23,1230
Freelancer,Simulation,0.02,0.02,0.0,0.01,0.05,1231
Freestyle Metal X,Racing,0.02,0.0,0.0,0.0,0.02,1232
Fritz Chess,Strategy,0.01,0.02,0.0,0.005,0.03,1233
Frogger Beyond,Platform,0.06,0.02,0.0,0.0,0.08,1234
Frogger: Ancient Shadow,Platform,0.02,0.01,0.0,0.0,0.03,1235
From Russia With Love,Action,0.15,0.04,0.0,0.01,0.2,1236
Front Mission Evolved,Shooter,0.08,0.04666666666666667,0.043333333333333335,0.016666666666666666,0.18000000000000002,1237
Frontlines: Fuel of War,Shooter,0.17,0.08499999999999999,0.005,0.025,0.29000000000000004,1238
Fuel,Racing,0.056666666666666664,0.11,0.0,0.03,0.19333333333333336,1239
Full Auto,Shooter,0.19,0.01,0.0,0.02,0.22,1240
Full Auto 2: Battlelines,Racing,0.14,0.02,0.0,0.02,0.18,1241
Full Spectrum Warrior,Strategy,0.54,0.16,0.0,0.03,0.73,1242
Full Spectrum Warrior: Ten Hammers,Strategy,0.03,0.01,0.0,0.0,0.05,1243
Fullmetal Alchemist: Prince of the Dawn,Adventure,0.0,0.0,0.01,0.0,0.01,1244
Furious Karting,Racing,0.01,0.0,0.0,0.0,0.01,1245
Furu Furu Park,Misc,0.05,0.0,0.0,0.0,0.05,1246
Fuse (Insomniac),Shooter,0.07,0.04,0.0,0.015,0.125,1247
Futurama,Platform,0.03,0.01,0.0,0.0,0.05,1248
Future Tactics: The Uprising,Strategy,0.02,0.01,0.0,0.0,0.03,1249
Fuzion Frenzy,Misc,0.93,0.24,0.0,0.04,1.21,1250
Fuzion Frenzy 2,Misc,0.14,0.01,0.0,0.01,0.17,1251
G-Force,Action,0.14333333333333334,0.10333333333333333,0.0,0.03,0.27666666666666667,1252
G.I. Joe: The Rise of Cobra,Action,0.15,0.05000000000000001,0.0,0.023333333333333334,0.2233333333333333,1253
G1 Jockey 4 2008,Sports,0.0,0.01,0.0,0.0,0.01,1254
G1 Jockey Wii,Sports,0.0,0.01,0.02,0.0,0.02,1255
GRID,Racing,0.32,0.505,0.02,0.14500000000000002,0.9950000000000001,1256
GRID 2,Racing,0.05000000000000001,0.15333333333333335,0.0033333333333333335,0.043333333333333335,0.25,1257
GRID Autosport,Racing,0.02666666666666667,0.06333333333333332,0.0033333333333333335,0.016666666666666666,0.11333333333333333,1258
GT Legends,Racing,0.0,0.02,0.0,0.0,0.02,1259
GT Pro Series,Racing,0.46,0.01,0.02,0.04,0.52,1260
GTI Club: Supermini Festa!,Racing,0.01,0.0,0.0,0.0,0.02,1261
GTR Evolution,Racing,0.0,0.02,0.0,0.01,0.03,1262
Gal Gun,Shooter,0.0,0.0,0.02,0.0,0.02,1263
Gal*Gun,Shooter,0.0,0.0,0.04,0.0,0.04,1264
Galleon: Islands of Mystery,Action,0.02,0.01,0.0,0.0,0.03,1265
Gallop & Ride!,Sports,0.14,0.0,0.0,0.01,0.15,1266
Game & Wario,Misc,0.06,0.06,0.11,0.01,0.24,1267
Game Party,Misc,1.5,0.78,0.0,0.24,2.52,1268
Game Party 2,Misc,1.3,0.44,0.0,0.17,1.91,1269
Game Party 3,Puzzle,1.43,0.16,0.0,0.12,1.71,1270
Game Party in Motion,Misc,0.36,0.18,0.0,0.05,0.59,1271
Game Party: Champions,Action,0.09,0.03,0.0,0.01,0.14,1272
Game of Thrones,Role-Playing,0.08333333333333333,0.08666666666666667,0.0,0.02333333333333333,0.19666666666666666,1273
Game of Thrones (Telltale),Adventure,0.0275,0.01,0.0,0.005,0.0425,1274
Gauntlet: Dark Legacy,Action,0.13,0.04,0.0,0.01,0.17,1275
Gauntlet: Seven Sorrows,Role-Playing,0.14,0.04,0.0,0.01,0.18,1276
Gears of War,Shooter,1.77,0.955,0.035,0.3,3.065,1277
Gears of War 2,Shooter,4.15,1.92,0.06,0.64,6.76,1278
Gears of War 3,Shooter,4.05,1.62,0.07,0.49,6.24,1279
Gears of War: Judgment,Shooter,0.92,0.53,0.03,0.13,1.61,1280
Gears of War: Ultimate Edition,Shooter,2.38,0.32,0.0,0.31,3.0,1281
Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,Misc,0.0,0.0,0.03,0.0,0.03,1282
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,Misc,0.0,0.0,0.03,0.0,0.03,1283
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,Misc,0.0,0.0,0.03,0.0,0.03,1284
Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,Action,0.0,0.0,0.21,0.0,0.21,1285
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,Action,0.0,0.0,0.22,0.0,0.22,1286
Gem Smashers,Platform,0.05,0.0,0.0,0.0,0.06,1287
Generator Rex: Agent of Providence,Action,0.05666666666666667,0.01,0.0,0.006666666666666667,0.07333333333333333,1288
Genji: Days of the Blade,Action,0.18,0.38,0.06,0.14,0.76,1289
Genma Onimusha,Action,0.14,0.04,0.05,0.01,0.24,1290
Geometry Wars: Galaxies,Shooter,0.11,0.0,0.0,0.01,0.13,1291
Geon Cube,Puzzle,0.02,0.0,0.0,0.0,0.02,1292
George of the Jungle and the Search for the Secret,Platform,0.02,0.0,0.0,0.0,0.02,1293
Germany's Next Topmodel 2011,Simulation,0.0,0.02,0.0,0.0,0.02,1294
Get Fit with Mel B,Sports,0.09,0.11000000000000001,0.0,0.04,0.235,1295
Get Up and Dance,Misc,0.045,0.025,0.0,0.005,0.08,1296
Ghost Pirates of Vooju Island,Adventure,0.0,0.02,0.0,0.0,0.02,1297
Ghost Squad,Shooter,0.42,0.21,0.08,0.07,0.79,1298
Ghostbusters (2016),Action,0.02,0.0,0.0,0.005,0.025,1299
Ghostbusters: The Video Game,Action,0.4566666666666666,0.24,0.0,0.09666666666666666,0.79,1300
Ghostbusters: The Video Game (DS Version),Action,0.5433333333333333,0.77,0.05333333333333334,0.21666666666666667,1.5833333333333333,1301
Gintama: Banji Oku Chuubu!,Action,0.0,0.0,0.03,0.0,0.03,1302
Glacier2,Racing,0.04,0.0,0.0,0.0,0.04,1303
Gladiator: Sword of Vengeance,Action,0.04,0.01,0.0,0.0,0.05,1304
Gladius,Strategy,0.1,0.03,0.0,0.0,0.14,1305
Go Diego Go! Great Dinosaur Rescue,Action,0.53,0.02,0.0,0.04,0.59,1306
Go Diego Go! Safari Rescue,Action,0.48,0.01,0.0,0.04,0.53,1307
Go Play: Circus Star,Action,0.12,0.0,0.0,0.01,0.13,1308
Go Play: City Sports,Sports,0.08,0.0,0.0,0.01,0.09,1309
Go Play: Lumberjacks,Simulation,0.18,0.0,0.0,0.01,0.2,1310
Go Vacation,Misc,0.48,0.68,0.33,0.16,1.65,1311
Goat Simulator,Simulation,0.0,0.01,0.0,0.0,0.01,1312
Gobliiins 4,Adventure,0.0,0.01,0.0,0.0,0.01,1313
Goblin Commander: Unleash the Horde,Strategy,0.06,0.02,0.0,0.0,0.08,1314
God Eater 2: Rage Burst,Role-Playing,0.0,0.01,0.09,0.0,0.1,1315
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,Misc,0.0,0.0,0.03,0.0,0.03,1316
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,Action,0.0,0.0,0.01,0.0,0.01,1317
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,Action,0.0,0.0,0.01,0.0,0.01,1318
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,Misc,0.0,0.0,0.01,0.0,0.01,1319
God Eater Resurrection,Action,0.0,0.0,0.08,0.0,0.08,1320
God of War Collection,Action,1.7,0.46,0.06,0.41,2.63,1321
God of War III,Action,1.485,0.8250000000000001,0.065,0.365,2.735,1322
God of War Saga,Action,0.72,0.0,0.0,0.06,0.78,1323
God of War: Ascension,Action,1.23,0.68,0.04,0.34,2.29,1324
God of War: Origins Collection,Action,0.39,0.08,0.02,0.06,0.56,1325
Godzilla (2014),Action,0.0,0.01,0.06,0.0,0.07,1326
Godzilla (2015),Action,0.1,0.03,0.02,0.03,0.18,1327
Godzilla Unleashed,Fighting,0.15,0.0,0.0,0.01,0.16,1328
Godzilla: Save the Earth,Fighting,0.1,0.03,0.0,0.0,0.14,1329
Gold's Gym: Cardio Workout,Sports,1.11,0.04,0.06,0.09,1.31,1330
Gold's Gym: Cardio Workout (Others sales),Sports,0.0,0.3,0.0,0.02,0.32,1331
Gold's Gym: Dance Workout,Sports,0.71,0.11,0.0,0.06,0.87,1332
Golden Axe: Beast Rider,Action,0.16,0.125,0.0,0.045,0.325,1333
GoldenEye 007 (2010),Action,0.85,0.71,0.13,0.16,1.86,1334
GoldenEye: Rogue Agent,Shooter,0.34,0.13,0.0,0.02,0.49,1335
Goldeneye 007: Reloaded,Shooter,0.29000000000000004,0.27999999999999997,0.0,0.09,0.655,1336
Goodbye Deponia,Adventure,0.0,0.06,0.0,0.01,0.07,1337
Goosebumps HorrorLand,Adventure,0.16,0.0,0.0,0.01,0.17,1338
Gormiti: The Lords of Nature!,Adventure,0.04,0.0,0.0,0.0,0.04,1339
Gothic 3,Role-Playing,0.0,0.05,0.0,0.01,0.06,1340
Gothic Universe,Role-Playing,0.0,0.03,0.0,0.01,0.04,1341
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,Misc,0.0,0.0,0.03,0.0,0.03,1342
Grabbed by the Ghoulies,Action,0.11,0.03,0.0,0.01,0.14,1343
Gran Turismo 5,Racing,2.96,4.88,0.81,2.12,10.77,1344
Gran Turismo 5 Prologue,Racing,1.28,1.83,0.57,0.53,4.2,1345
Gran Turismo 6,Racing,0.71,1.8,0.4,0.74,3.64,1346
Grand Ages: Medieval,Strategy,0.0,0.045,0.005,0.005,0.060000000000000005,1347
Grand Kingdom,Role-Playing,0.02,0.0,0.03,0.0,0.06,1348
Grand Slam Tennis 2,Sports,0.095,0.09,0.0,0.03,0.215,1349
Grand Theft Auto III,Action,0.0,0.01,0.0,0.0,0.01,1350
Grand Theft Auto IV,Action,3.8433333333333333,2.55,0.19333333333333336,0.9100000000000001,7.489999999999999,1351
Grand Theft Auto V,Action,4.692,4.608,0.278,1.6059999999999999,11.184000000000001,1352
Grand Theft Auto: San Andreas,Action,0.4466666666666667,0.52,0.0,0.05000000000000001,1.0166666666666666,1353
Grand Theft Auto: Vice City,Action,0.0,0.03,0.0,0.01,0.04,1354
Gravity Rush Remastered,Action,0.02,0.05,0.04,0.01,0.13,1355
Gray Matter,Adventure,0.01,0.045,0.0,0.01,0.07,1356
Grease,Misc,0.27,0.25,0.0,0.05,0.57,1357
Grease Dance,Misc,0.08,0.025,0.0,0.01,0.12,1358
Great Party Games,Misc,0.0,0.08,0.0,0.01,0.09,1359
Green Day: Rock Band,Misc,0.21666666666666667,0.1366666666666667,0.0,0.04666666666666667,0.4033333333333333,1360
Green Lantern: Rise of the Manhunters,Action,0.07333333333333333,0.04666666666666667,0.0,0.016666666666666666,0.13333333333333333,1361
Greg Hastings Paintball 2,Shooter,0.11333333333333333,0.0,0.0,0.006666666666666667,0.12666666666666665,1362
Greg Hastings' Tournament Paintball,Shooter,0.46,0.06,0.0,0.02,0.54,1363
Grey's Anatomy: The Video Game,Adventure,0.025,0.015,0.0,0.0,0.04,1364
Grooverider: Slot Car Thunder,Racing,0.01,0.0,0.0,0.0,0.01,1365
Groovin' Blocks,Puzzle,0.01,0.0,0.0,0.0,0.01,1366
Group S Challenge,Racing,0.02,0.0,0.0,0.0,0.02,1367
Guess the Logos,Puzzle,0.02,0.0,0.0,0.0,0.02,1368
Guild Wars,Role-Playing,0.02,0.0,0.0,0.0,0.03,1369
Guild Wars 2,Action,0.95,1.06,0.0,0.29,2.3,1370
Guild Wars Trilogy,Role-Playing,0.0,0.03,0.0,0.01,0.04,1371
Guild Wars: Factions,Role-Playing,0.0,0.01,0.0,0.0,0.02,1372
Guild Wars: Nightfall,Role-Playing,0.0,0.02,0.0,0.01,0.03,1373
Guilty Gear X2 #Reload,Fighting,0.11,0.03,0.0,0.01,0.15,1374
Guilty Gear XX Accent Core,Fighting,0.03,0.0,0.0,0.0,0.04,1375
Guilty Gear XX Accent Core Plus,Fighting,0.01,0.02,0.0,0.0,0.03,1376
Guilty Gear Xrd -Revelator-,Fighting,0.015,0.01,0.035,0.005,0.07,1377
Guilty Gear Xrd: Sign,Fighting,0.095,0.0,0.05500000000000001,0.02,0.16999999999999998,1378
Guinness World Records: The Videogame,Action,0.46,0.47,0.0,0.11,1.04,1379
Guitar Hero 5,Misc,0.7066666666666667,0.42,0.0,0.14333333333333334,1.2733333333333332,1380
Guitar Hero II,Misc,2.01,0.02,0.0,0.17,2.2,1381
Guitar Hero III: Legends of Rock,Misc,1.915,0.645,0.0075,0.29,2.855,1382
Guitar Hero Live,Misc,0.188,0.16,0.0,0.05399999999999999,0.404,1383
Guitar Hero: Aerosmith,Misc,0.9233333333333333,0.14333333333333334,0.0,0.10333333333333333,1.17,1384
Guitar Hero: Metallica,Misc,0.4033333333333333,0.29333333333333333,0.0,0.09000000000000001,0.7966666666666667,1385
Guitar Hero: Smash Hits,Misc,0.25333333333333335,0.15666666666666665,0.0,0.05000000000000001,0.4633333333333334,1386
Guitar Hero: Van Halen,Misc,0.1466666666666667,0.10333333333333333,0.0,0.03333333333333333,0.29,1387
Guitar Hero: Warriors of Rock,Misc,0.4266666666666667,0.36999999999999994,0.0,0.10333333333333333,0.8999999999999999,1388
Guitar Hero: World Tour,Misc,1.3025000000000002,0.5499999999999999,0.0,0.22,2.07,1389
Gummy Bears Magical Medallion,Platform,0.02,0.0,0.0,0.0,0.02,1390
Gummy Bears Mini Golf,Sports,0.04,0.0,0.0,0.0,0.04,1391
Gun,Shooter,0.38,0.12,0.0,0.02,0.52,1392
Gun Metal,Shooter,0.08,0.02,0.0,0.0,0.11,1393
GunGriffon: Allied Strike,Simulation,0.02,0.01,0.0,0.0,0.03,1394
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Shooter,0.06,0.01,0.0,0.01,0.08,1395
Gundam Breaker,Action,0.0,0.0,0.26,0.0,0.26,1396
Gundam Breaker 2,Action,0.0,0.0,0.14,0.0,0.14,1397
Gundam Breaker 3,Action,0.0,0.0,0.09,0.0,0.09,1398
Gunslingers,Shooter,0.08,0.06,0.0,0.02,0.16,1399
Gunvalkyrie,Shooter,0.13,0.04,0.0,0.01,0.17,1400
Hail to the Chimp,Misc,0.05,0.0,0.0,0.0,0.055,1401
Hajime no Ippo: The Fighting! (2014),Sports,0.0,0.0,0.03,0.0,0.03,1402
Hakuoki: Stories of the Shinsengumi,Adventure,0.02,0.0,0.03,0.0,0.05,1403
Half-Life 2,Shooter,1.325,0.11499999999999999,0.04,0.015,1.49,1404
Hallowed Legends: Samhain,Adventure,0.0,0.02,0.0,0.01,0.03,1405
Halo 2,Shooter,3.415,0.795,0.025,0.05,4.295,1406
Halo 2 Multiplayer Map Pack,Shooter,0.54,0.13,0.0,0.02,0.69,1407
Halo 3,Shooter,7.97,2.83,0.13,1.21,12.14,1408
Halo 3: ODST,Shooter,4.34,1.35,0.06,0.61,6.36,1409
Halo 4,Shooter,6.63,2.36,0.04,0.73,9.76,1410
Halo 5: Guardians,Shooter,2.64,1.2,0.03,0.39,4.26,1411
Halo Triple Pack,Shooter,0.12,0.03,0.0,0.01,0.16,1412
Halo Wars,Strategy,1.53,0.82,0.04,0.24,2.63,1413
Halo: Combat Evolved,Shooter,2.495,0.66,0.04,0.04,3.235,1414
Halo: Combat Evolved Anniversary,Shooter,1.44,0.73,0.04,0.22,2.44,1415
Halo: Reach,Shooter,7.03,1.98,0.08,0.78,9.88,1416
Halo: The Master Chief Collection,Shooter,1.89,0.99,0.03,0.24,3.15,1417
Hamster Heroes,Puzzle,0.16,0.0,0.0,0.0,0.16,1418
Handball 16,Sports,0.0,0.03333333333333333,0.0,0.006666666666666667,0.04,1419
Haneru no Tobira Wii: Girigirissu,Misc,0.0,0.0,0.02,0.0,0.02,1420
Hannah Montana: Spotlight World Tour,Action,0.87,0.38,0.0,0.13,1.39,1421
